gameweek,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,season,home_score,away_score,matchup_id
8,Sun,2023-10-08,16:30,ARS,0.4,1–0,0.5,MCI,"60,233",Emirates Stadium,Michael Oliver,Match Report,,2023,1.0,0.0,180
8,Sun,2023-10-08,14:00,BHA,2.3,2–2,2.3,LIV,"31,752",The American Express Community Stadium,Anthony Taylor,Match Report,,2023,2.0,2.0,181
8,Sat,2023-10-07,15:00,BUR,0.7,1–4,1.9,CHE,"21,654",Turf Moor,Stuart Attwell,Match Report,,2023,1.0,4.0,182
8,Sat,2023-10-07,17:30,CRY,0.8,0–0,1.0,NOT,"25,017",Selhurst Park,Craig Pawson,Match Report,,2023,0.0,0.0,183
8,Sat,2023-10-07,15:00,EVE,2.4,3–0,0.7,BOU,"38,815",Goodison Park,David Coote,Match Report,,2023,3.0,0.0,184
8,Sat,2023-10-07,15:00,FUL,2.2,3–1,0.6,SHU,"24,361",Craven Cottage,Samuel Barrott,Match Report,,2023,3.0,1.0,185
8,Sat,2023-10-07,12:30,LUT,0.8,0–1,1.9,TOT,"10,290",Kenilworth Road Stadium,John Brooks,Match Report,,2023,0.0,1.0,186
8,Sat,2023-10-07,15:00,MUN,1.4,2–1,0.9,BRF,"73,453",Old Trafford,Andy Madley,Match Report,,2023,2.0,1.0,187
8,Sun,2023-10-08,14:00,WHU,1.2,2–2,2.0,NEW,"62,473",London Stadium,Peter Bankes,Match Report,,2023,2.0,2.0,188
8,Sun,2023-10-08,14:00,WOL,1.7,1–1,1.6,AVL,"31,425",Molineux Stadium,Robert Jones,Match Report,,2023,1.0,1.0,189
9,Sun,2023-10-22,16:30,AVL,1.9,4–1,1.1,WHU,"41,734",Villa Park,David Coote,Match Report,,2023,4.0,1.0,190
9,Sat,2023-10-21,15:00,BOU,0.6,1–2,2.4,WOL,"11,175",Vitality Stadium,Paul Tierney,Match Report,,2023,1.0,2.0,191
9,Sat,2023-10-21,15:00,BRF,3.1,3–0,1.1,BUR,"17,029",Gtech Community Stadium,Joshua Smith,Match Report,,2023,3.0,0.0,192
9,Sat,2023-10-21,17:30,CHE,1.3,2–2,1.0,ARS,"39,723",Stamford Bridge,Chris Kavanagh,Match Report,,2023,2.0,2.0,193
9,Sat,2023-10-21,12:30,LIV,2.2,2–0,0.1,EVE,"50,201",Anfield,Craig Pawson,Match Report,,2023,2.0,0.0,194
9,Sat,2023-10-21,15:00,MCI,0.8,2–1,0.8,BHA,"53,466",Etihad Stadium,Robert Jones,Match Report,,2023,2.0,1.0,195
9,Sat,2023-10-21,15:00,NEW,2.4,4–0,1.2,CRY,"52,189",St James' Park,Tim Robinson,Match Report,,2023,4.0,0.0,196
9,Sat,2023-10-21,15:00,NOT,2.9,2–2,1.7,LUT,"29,361",The City Ground,Samuel Barrott,Match Report,,2023,2.0,2.0,197
9,Sat,2023-10-21,20:00,SHU,1.4,1–2,1.1,MUN,"31,543",Bramall Lane,Michael Oliver,Match Report,,2023,1.0,2.0,198
9,Mon,2023-10-23,20:00,TOT,1.5,2–0,1.0,FUL,"61,286",Tottenham Hotspur Stadium,Anthony Taylor,Match Report,,2023,2.0,0.0,199
