minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2,opponent,game_id
75.0,Nicolo Zaniolo,Aston Villa,0.19,,Blocked,12.0,Left Foot,,Boubacar Kamara,Pass (Live),Matty Cash,Pass (Live),Burnley,b66a7def
76.0,Matty Cash,Aston Villa,0.01,,Blocked,16.0,Left Foot,,nan,nan,nan,nan,Burnley,b66a7def
79.0,Ollie Watkins,Aston Villa,0.07,,Blocked,21.0,Right Foot,,Douglas Luiz,Pass (Live),Nicolò Zaniolo,Pass (Live),Burnley,b66a7def
80.0,Matty Cash,Aston Villa,0.03,,Blocked,15.0,Right Foot,,Nicolò Zaniolo,Pass (Live),Ollie Watkins,Pass (Live),Burnley,b66a7def
82.0,Nicolo Zaniolo,Aston Villa,0.03,,Off Target,26.0,Left Foot,,nan,nan,nan,nan,Burnley,b66a7def
85.0,Jay Rodriguez,Burnley,0.12,,Off Target,20.0,Right Foot,,Hannes Delcroix,Pass (Live),Josh Cullen,Pass (Live),Aston Villa,b66a7def
88.0,Jay Rodriguez,Burnley,0.33,,Off Target,9.0,Head,,Josh Cullen,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live),Aston Villa,b66a7def
1,Joel Matip,Liverpool,0.11,,Off Target,8.0,Head,,Trent Alexander-Arnold,Pass (Dead),Trent Alexander-Arnold,Pass (Live),Newcastle Utd,b31156ab
16,Joelinton,Newcastle Utd,0.06,0.02,Saved,18.0,Right Foot,,Alexander Isak,Pass (Live),nan,nan,Liverpool,b31156ab
16,Anthony Gordon,Newcastle Utd,0.02,0.26,Saved,28.0,Right Foot,Deflected,Joelinton,Pass (Live),Anthony Gordon,Pass (Live),Liverpool,b31156ab
17,Luis Diaz,Liverpool,0.08,0.2,Saved,10.0,Right Foot,,Luis Díaz,Take-On,Dominik Szoboszlai,Pass (Live),Newcastle Utd,b31156ab
24,Mohamed Salah,Liverpool,0.03,0.03,Saved,22.0,Left Foot,,Cody Gakpo,Pass (Live),Dominik Szoboszlai,Pass (Live),Newcastle Utd,b31156ab
25,Anthony Gordon,Newcastle Utd,0.51,0.25,Goal,16.0,Right Foot,,nan,nan,nan,nan,Liverpool,b31156ab
31,Fabian Schar,Newcastle Utd,0.1,,Blocked,23.0,Right Foot,Free kick,Alexander Isak,Fouled,Joelinton,Pass (Live),Liverpool,b31156ab
31,Sandro Tonali,Newcastle Utd,0.02,,Blocked,28.0,Right Foot,,Fabian Schär,Shot,nan,nan,Liverpool,b31156ab
36,Miguel Almiron,Newcastle Utd,0.1,0.17,Saved,16.0,Left Foot,Volley,Miguel Almirón,Pass (Live),Kieran Trippier,Pass (Dead),Liverpool,b31156ab
36,Miguel Almiron,Newcastle Utd,0.03,,Off Target,25.0,Left Foot,Volley,Miguel Almirón,Shot,nan,nan,Liverpool,b31156ab
38,Miguel Almiron,Newcastle Utd,0.08,,Off Target,21.0,Left Foot,,Kieran Trippier,Pass (Live),Anthony Gordon,Pass (Live),Liverpool,b31156ab
45+1,Dominik Szoboszlai,Liverpool,0.03,,Off Target,35.0,Right Foot,Free kick,Alexis Mac Allister,Fouled,Wataru Endo,Pass (Live),Newcastle Utd,b31156ab
47,Alexander Isak,Newcastle Utd,0.16,0.43,Saved,8.0,Left Foot,Deflected,Anthony Gordon,Pass (Live),Anthony Gordon,Take-On,Liverpool,b31156ab
50,Miguel Almiron,Newcastle Utd,0.13,,Off Target,12.0,Left Foot,,Joelinton,Pass (Live),Sandro Tonali,Pass (Live),Liverpool,b31156ab
54,Anthony Gordon,Newcastle Utd,0.03,0.02,Saved,23.0,Right Foot,,Bruno Guimarães,Pass (Live),Bruno Guimarães,Take-On,Liverpool,b31156ab
58,Bruno Guimaraes,Newcastle Utd,0.02,,Off Target,30.0,Right Foot,,Anthony Gordon,Pass (Live),Dan Burn,Pass (Live),Liverpool,b31156ab
62,Joe Gomez,Liverpool,0.01,,Off Target,16.0,Head,,Andrew Robertson,Pass (Dead),Joe Gomez,Fouled,Newcastle Utd,b31156ab
64,Anthony Gordon,Newcastle Utd,0.09,,Off Target,21.0,Right Foot,,Dan Burn,Pass (Live),Sven Botman,Pass (Live),Liverpool,b31156ab
66,Sven Botman,Newcastle Utd,0.07,,Off Target,10.0,Head,,Kieran Trippier,Pass (Dead),Kieran Trippier,Fouled,Liverpool,b31156ab
67,Mohamed Salah,Liverpool,0.14,,Blocked,9.0,Left Foot,,Diogo Jota,Pass (Live),Mohamed Salah,Pass (Live),Newcastle Utd,b31156ab
74,Callum Wilson,Newcastle Utd,0.03,,Off Target,13.0,Head,,Sean Longstaff,Pass (Live),Miguel Almirón,Pass (Live),Liverpool,b31156ab
76,Miguel Almiron,Newcastle Utd,0.16,,Woodwork,16.0,Left Foot,,Kieran Trippier,Pass (Live),Nick Pope,Pass (Live),Liverpool,b31156ab
79,Harvey Barnes,Newcastle Utd,0.08,,Blocked,14.0,Right Foot,,Joelinton,Pass (Live),Joelinton,Take-On,Liverpool,b31156ab
81,Darwin Nunez,Liverpool,0.07,0.68,Goal,18.0,Right Foot,,Mohamed Salah,Pass (Live),Trent Alexander-Arnold,Pass (Live),Newcastle Utd,b31156ab
84,Dominik Szoboszlai,Liverpool,0.04,,Blocked,22.0,Right Foot,,Mohamed Salah,Tackle,nan,nan,Newcastle Utd,b31156ab
85,Sven Botman,Newcastle Utd,0.01,,Off Target,15.0,Head,,Kieran Trippier,Pass (Live),Bruno Guimarães,Pass (Dead),Liverpool,b31156ab
89,Miguel Almiron,Newcastle Utd,0.05,,Blocked,18.0,Left Foot,,Harvey Barnes,Pass (Live),Matt Targett,Pass (Live),Liverpool,b31156ab
89,Sean Longstaff,Newcastle Utd,0.05,0.09,Saved,28.0,Right Foot,,Bruno Guimarães,Pass (Live),Matt Targett,Pass (Live),Liverpool,b31156ab
90,Callum Wilson,Newcastle Utd,0.07,,Off Target,14.0,Right Foot,,Kieran Trippier,Pass (Live),Fabian Schär,Pass (Live),Liverpool,b31156ab
90+3,Sean Longstaff,Newcastle Utd,0.12,0.1,Saved,10.0,Right Foot,,Elliot Anderson,Pass (Live),Matt Targett,Pass (Live),Liverpool,b31156ab
90+3,Darwin Nunez,Liverpool,0.36,0.84,Goal,14.0,Right Foot,,Mohamed Salah,Pass (Live),nan,nan,Newcastle Utd,b31156ab
90+7,Nick Pope,Newcastle Utd,0.03,,Off Target,14.0,Head,,Sean Longstaff,Fouled,Kieran Trippier,Pass (Live),Liverpool,b31156ab
7,Erling Haaland,Manchester City,0.03,,Off Target,13.0,Head,,Bernardo Silva,Pass (Live),Rúben Dias,Pass (Live),Sheffield Utd,0844ff10
12,Erling Haaland,Manchester City,0.07,0.04,Saved,11.0,Head,,Julián Álvarez,Pass (Live),Rúben Dias,Pass (Live),Sheffield Utd,0844ff10
13,Erling Haaland,Manchester City,0.03,,Blocked,9.0,Left Foot,Volley,Julián Álvarez,Pass (Dead),Rodri,Pass (Live),Sheffield Utd,0844ff10
13,Nathan Ake,Manchester City,0.06,,Off Target,6.0,Left Foot,,Erling Haaland,Shot,nan,nan,Sheffield Utd,0844ff10
15,Kyle Walker,Manchester City,0.02,,Blocked,34.0,Right Foot,,Joško Gvardiol,Pass (Live),Nathan Aké,Pass (Live),Sheffield Utd,0844ff10
26,Mateo Kovacic,Manchester City,0.03,,Blocked,14.0,Right Foot,,Jack Grealish,Pass (Live),Mateo Kovačić,Pass (Live),Sheffield Utd,0844ff10
27,Julian Alvarez,Manchester City,0.17,0.85,Saved,8.0,Left Foot,,Bernardo Silva,Pass (Live),Rúben Dias,Pass (Live),Sheffield Utd,0844ff10
31,Julian Alvarez,Manchester City,0.03,,Off Target,30.0,Right Foot,Free kick,Bernardo Silva,Fouled,Kyle Walker,Pass (Live),Sheffield Utd,0844ff10
37,Erling Haaland (pen),Manchester City,0.79,,Woodwork,13.0,Left Foot,,nan,Fouled,Jack Grealish,Pass (Live),Sheffield Utd,0844ff10
43,Rodri,Manchester City,0.03,0.03,Saved,27.0,Right Foot,,Jack Grealish,Pass (Live),Joško Gvardiol,Pass (Live),Sheffield Utd,0844ff10
45+1,Jack Grealish,Manchester City,0.26,,Blocked,4.0,Right Foot,Volley,Bernardo Silva,Pass (Live),Kyle Walker,Pass (Live),Sheffield Utd,0844ff10
45+3,Julian Alvarez,Manchester City,0.06,,Blocked,16.0,Right Foot,,Rúben Dias,Pass (Live),Bernardo Silva,Pass (Live),Sheffield Utd,0844ff10
47,Rodri,Manchester City,0.02,,Off Target,32.0,Left Foot,,Kyle Walker,Pass (Live),Bernardo Silva,Pass (Live),Sheffield Utd,0844ff10
48,Rodri,Manchester City,0.07,,Off Target,17.0,Right Foot,,Bernardo Silva,Pass (Live),Rúben Dias,Pass (Live),Sheffield Utd,0844ff10
51,Erling Haaland,Manchester City,0.22,,Off Target,10.0,Right Foot,,Kyle Walker,Pass (Live),Rodri,Pass (Live),Sheffield Utd,0844ff10
55,Jack Grealish,Manchester City,0.02,,Blocked,16.0,Right Foot,,Joško Gvardiol,Pass (Live),Mateo Kovačić,Pass (Live),Sheffield Utd,0844ff10
55,Julian Alvarez,Manchester City,0.06,,Off Target,12.0,Head,,Kyle Walker,Pass (Live),Rodri,Pass (Live),Sheffield Utd,0844ff10
57,Ruben Dias,Manchester City,0.04,,Blocked,27.0,Left Foot,,Rodri,Pass (Live),Bernardo Silva,Pass (Live),Sheffield Utd,0844ff10
58,Rodri,Manchester City,0.07,,Off Target,16.0,Left Foot,,Jack Grealish,Pass (Live),Mateo Kovačić,Pass (Live),Sheffield Utd,0844ff10
61,Erling Haaland,Manchester City,0.36,0.35,Saved,8.0,Left Foot,,Mateo Kovačić,Pass (Live),Rodri,Pass (Live),Sheffield Utd,0844ff10
62,Julian Alvarez,Manchester City,0.08,0.18,Saved,12.0,Left Foot,,Jack Grealish,Pass (Live),Mateo Kovačić,Pass (Live),Sheffield Utd,0844ff10
62,Kyle Walker,Manchester City,0.02,,Off Target,29.0,Right Foot,,Mateo Kovačić,Pass (Live),Rodri,Pass (Live),Sheffield Utd,0844ff10
63,Erling Haaland,Manchester City,0.21,0.45,Goal,4.0,Head,,Jack Grealish,Pass (Live),Mateo Kovačić,Pass (Live),Sheffield Utd,0844ff10
74,Gustavo Hamer,Sheffield Utd,0.15,,Blocked,22.0,Right Foot,,Yasser Larouci,Pass (Live),nan,nan,Manchester City,0844ff10
74,Anel Ahmedhodzic,Sheffield Utd,0.03,,Off Target,29.0,Right Foot,Volley,nan,nan,nan,nan,Manchester City,0844ff10
76,Julian Alvarez,Manchester City,0.03,,Off Target,26.0,Right Foot,,Bernardo Silva,Pass (Live),Rodri,Pass (Live),Sheffield Utd,0844ff10
77,Oliver McBurnie,Sheffield Utd,0.02,,Off Target,13.0,Head,,Oliver Norwood,Pass (Dead),nan,nan,Manchester City,0844ff10
79,Julian Alvarez,Manchester City,0.07,0.11,Saved,28.0,Right Foot,Free kick,Bernardo Silva,Fouled,Julián Álvarez,Pass (Live),Sheffield Utd,0844ff10
84,Mateo Kovacic,Manchester City,0.03,0.04,Saved,25.0,Right Foot,,Jack Grealish,Pass (Live),Mateo Kovačić,Pass (Live),Sheffield Utd,0844ff10
85,Jayden Bogle,Sheffield Utd,0.09,0.36,Goal,13.0,Right Foot,,Bénie Adama Traore,Pass (Live),nan,nan,Manchester City,0844ff10
87,Julian Alvarez,Manchester City,0.2,,Off Target,14.0,Right Foot,,Phil Foden,Pass (Live),Phil Foden,Take-On,Sheffield Utd,0844ff10
88,Erling Haaland,Manchester City,0.35,,Off Target,7.0,Head,,Bernardo Silva,Pass (Live),Phil Foden,Pass (Live),Sheffield Utd,0844ff10
88,Rodri,Manchester City,0.13,0.41,Goal,13.0,Left Foot,,Kyle Walker,Pass (Live),Erling Haaland,Shot,Sheffield Utd,0844ff10
90,Anel Ahmedhodzic,Sheffield Utd,0.32,,Off Target,4.0,Right Foot,Volley,Oliver McBurnie,Pass (Live),Bénie Adama Traore,Pass (Live),Manchester City,0844ff10
90+2,Yasser Larouci,Sheffield Utd,0.06,,Off Target,16.0,Left Foot,,Gustavo Hamer,Pass (Live),Yasser Larouci,Pass (Live),Manchester City,0844ff10
90+4,Phil Foden,Manchester City,0.02,,Blocked,22.0,Left Foot,,Kyle Walker,Pass (Live),Nathan Aké,Pass (Live),Sheffield Utd,0844ff10
2,Ross Barkley,Luton Town,0.04,,Off Target,21.0,Right Foot,Volley,Amari'i Bell,Pass (Live),Tahith Chong,Pass (Live),West Ham,e929e225
13,Said Benrahma,West Ham,0.03,,Off Target,18.0,Right Foot,Volley,Saïd Benrahma,Take-On,Emerson Palmieri,Pass (Live),Luton Town,e929e225
14,Tahith Chong,Luton Town,0.03,,Blocked,31.0,Left Foot,,Marvelous Nakamba,Pass (Live),Carlton Morris,Pass (Live),West Ham,e929e225
15,Ross Barkley,Luton Town,0.12,,Off Target,15.0,Left Foot,,Ross Barkley,Take-On,Alfie Doughty,Pass (Live),West Ham,e929e225
24,Mads Juel Andersen,Luton Town,0.09,,Off Target,8.0,Head,,Ross Barkley,Pass (Dead),nan,nan,West Ham,e929e225
26,Jarrod Bowen,West Ham,0.03,,Off Target,23.0,Left Foot,Volley,Nayef Aguerd,Pass (Live),Emerson Palmieri,Pass (Live),Luton Town,e929e225
29,Said Benrahma,West Ham,0.01,,Off Target,26.0,Right Foot,Volley,Emerson Palmieri,Pass (Live),Saïd Benrahma,Pass (Live),Luton Town,e929e225
36,Edson Alvarez,West Ham,0.14,,Blocked,19.0,Right Foot,,Jarrod Bowen,Pass (Live),Jarrod Bowen,Take-On,Luton Town,e929e225
36,Said Benrahma,West Ham,0.08,,Off Target,20.0,Left Foot,,Edson Álvarez,Pass (Live),Edson Álvarez,Shot,Luton Town,e929e225
37,Jarrod Bowen,West Ham,0.44,0.91,Goal,6.0,Head,,Lucas Paquetá,Pass (Live),Edson Álvarez,Pass (Live),Luton Town,e929e225
39,Elijah Adebayo,Luton Town,0.08,,Off Target,15.0,Right Foot,,Amari'i Bell,Pass (Live),Ryan John Giles,Pass (Live),West Ham,e929e225
41,Carlton Morris,Luton Town,0.04,,Off Target,8.0,Head,,Ryan John Giles,Pass (Live),Ryan John Giles,Take-On,West Ham,e929e225
44,Reece Burke,Luton Town,0.15,,Off Target,8.0,Head,,Ross Barkley,Pass (Dead),Ryan John Giles,Pass (Live),West Ham,e929e225
44,Tahith Chong,Luton Town,0.18,,Off Target,3.0,Left Foot,,Reece Burke,Shot,nan,nan,West Ham,e929e225
53,Alfie Doughty,Luton Town,0.01,,Blocked,25.0,Left Foot,,Alfie Doughty,Take-On,Carlton Morris,Pass (Live),West Ham,e929e225
54,Said Benrahma,West Ham,0.09,,Blocked,11.0,Right Foot,,James Ward-Prowse,Take-On,Michail Antonio,Interception,Luton Town,e929e225
57,Elijah Adebayo,Luton Town,0.2,,Blocked,5.0,Right Foot,Volley,Marvelous Nakamba,Pass (Live),Carlton Morris,Pass (Live),West Ham,e929e225
57,Elijah Adebayo,Luton Town,0.15,,Off Target,3.0,Right Foot,,Elijah Adebayo,Shot,nan,nan,West Ham,e929e225
61,Reece Burke,Luton Town,0.04,,Blocked,8.0,Right Foot,Volley,Ross Barkley,Pass (Dead),Alfie Doughty,Pass (Live),West Ham,e929e225
61,Reece Burke,Luton Town,0.07,,Off Target,9.0,Head,,Ross Barkley,Pass (Dead),Reece Burke,Shot,West Ham,e929e225
63,Said Benrahma,West Ham,0.02,0.03,Saved,16.0,Right Foot,Volley,Vladimír Coufal,Pass (Live),James Ward-Prowse,Pass (Live),Luton Town,e929e225
83,Carlton Morris,Luton Town,0.13,,Off Target,9.0,Right Foot,,Pelly Ruddock Mpanzu,Pass (Live),Chiedozie Ogbene,Pass (Live),West Ham,e929e225
85,Kurt Zouma,West Ham,0.2,0.38,Goal,8.0,Head,,James Ward-Prowse,Pass (Dead),Lucas Paquetá,Pass (Live),Luton Town,e929e225
90+2,Mads Juel Andersen,Luton Town,0.12,0.76,Goal,8.0,Head,,Carlton Morris,Pass (Live),Amari'i Bell,Pass (Live),West Ham,e929e225
90+6,Chiedozie Ogbene,Luton Town,0.03,,Blocked,13.0,Left Foot,,Cauley Woodrow,Pass (Live),Issa Kaboré,Pass (Live),West Ham,e929e225
10,John Egan,Sheffield Utd,0.05,0.12,Saved,9.0,Head,,Oliver Norwood,Pass (Dead),Gustavo Hamer,Fouled,Everton,87b46bb9
13,Oliver Norwood,Sheffield Utd,0.03,,Off Target,24.0,Right Foot,Volley,Gustavo Hamer,Pass (Live),nan,nan,Everton,87b46bb9
14,Beto,Everton,0.04,,Blocked,23.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),Beto,Pass (Live),Sheffield Utd,87b46bb9
14,Amadou Onana,Everton,0.05,,Blocked,10.0,Head,,Ashley Young,Pass (Dead),Beto,Shot,Sheffield Utd,87b46bb9
14,Abdoulaye Doucoure,Everton,0.79,0.9,Saved,4.0,Right Foot,,Amadou Onana,Shot,nan,nan,Sheffield Utd,87b46bb9
14,Abdoulaye Doucoure,Everton,0.91,0.99,Goal,2.0,Left Foot,,Abdoulaye Doucouré,Shot,nan,nan,Sheffield Utd,87b46bb9
18,Arnaut Danjuma,Everton,0.13,,Blocked,16.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),nan,nan,Sheffield Utd,87b46bb9
20,Yasser Larouci,Sheffield Utd,0.02,0.04,Saved,18.0,Left Foot,,Yasser Larouci,Take-On,nan,nan,Everton,87b46bb9
21,Gustavo Hamer,Sheffield Utd,0.08,0.25,Saved,17.0,Right Foot,,George Baldock,Pass (Live),Gustavo Hamer,Pass (Live),Everton,87b46bb9
29,Arnaut Danjuma,Everton,0.04,,Off Target,13.0,Left Foot,,nan,nan,nan,nan,Sheffield Utd,87b46bb9
31,Abdoulaye Doucoure,Everton,0.05,,Blocked,25.0,Left Foot,,James Garner,Pass (Live),Idrissa Gana Gueye,Pass (Live),Sheffield Utd,87b46bb9
33,Cameron Archer,Sheffield Utd,0.12,0.27,Goal,16.0,Right Foot,,Oliver McBurnie,Pass (Live),Gustavo Hamer,Pass (Live),Everton,87b46bb9
35,Beto,Everton,0.04,,Blocked,9.0,Right Foot,,Beto,Take-On,nan,nan,Sheffield Utd,87b46bb9
44,Arnaut Danjuma,Everton,0.15,0.69,Saved,4.0,Right Foot,,Beto,Pass (Live),Beto,Take-On,Sheffield Utd,87b46bb9
45+3,Cameron Archer,Sheffield Utd,0.06,,Woodwork,22.0,Right Foot,,Gustavo Hamer,Pass (Live),George Baldock,Pass (Live),Everton,87b46bb9
46,Beto,Everton,0.14,,Off Target,17.0,Left Foot,,Arnaut Danjuma,Pass (Live),Jarrad Branthwaite,Pass (Live),Sheffield Utd,87b46bb9
51,Arnaut Danjuma,Everton,0.08,,Blocked,22.0,Right Foot,Free kick,Arnaut Danjuma,Fouled,Beto,Pass (Live),Sheffield Utd,87b46bb9
53,Beto,Everton,0.04,,Off Target,9.0,Head,,Ashley Young,Pass (Dead),Beto,Take-On,Sheffield Utd,87b46bb9
55,Arnaut Danjuma,Everton,0.7,0.97,Goal,3.0,Left Foot,,Nathan Patterson,Pass (Live),Beto,Pass (Live),Sheffield Utd,87b46bb9
56,Abdoulaye Doucoure,Everton,0.04,0.02,Saved,21.0,Right Foot,Deflected,Amadou Onana,Pass (Live),Beto,Pass (Live),Sheffield Utd,87b46bb9
58,Yasser Larouci,Sheffield Utd,0.09,,Off Target,12.0,Left Foot,,Oliver Norwood,Pass (Live),Gustavo Hamer,Pass (Live),Everton,87b46bb9
71,Luke Thomas,Sheffield Utd,0.16,0.69,Saved,4.0,Left Foot,Volley,Oliver Norwood,Pass (Live),George Baldock,Pass (Dead),Everton,87b46bb9
71,Gustavo Hamer,Sheffield Utd,0.13,,Blocked,15.0,Right Foot,,Luke Thomas,Shot,nan,nan,Everton,87b46bb9
76,Jack Robinson,Sheffield Utd,0.03,,Off Target,18.0,Left Foot,Volley,Chris Basham,Fouled,nan,nan,Everton,87b46bb9
80,Ashley Young,Everton,0.07,0.1,Saved,29.0,Right Foot,Free kick,Amadou Onana,Fouled,Dwight McNeil,Pass (Live),Sheffield Utd,87b46bb9
90,Jack Robinson,Sheffield Utd,0.08,,Blocked,15.0,Right Foot,Volley,George Baldock,Pass (Live),Oliver Norwood,Pass (Live),Everton,87b46bb9
90+6,Dwight McNeil,Everton,0.04,,Blocked,29.0,Left Foot,,Nathan Patterson,Pass (Dead),nan,nan,Sheffield Utd,87b46bb9
90+9,Oliver McBurnie,Sheffield Utd,0.11,0.14,Saved,9.0,Head,,Oliver Norwood,Pass (Dead),nan,nan,Everton,87b46bb9
90+9,Oliver McBurnie,Sheffield Utd,0.29,0.47,Saved,5.0,Right Foot,Volley,Oliver McBurnie,Shot,nan,nan,Everton,87b46bb9
1,Enzo Fernandez,Chelsea,0.04,,Blocked,21.0,Left Foot,,Nicolas Jackson,Take-On,Moisés Caicedo,Pass (Live),Nott'ham Forest,44e89d37
2,Raheem Sterling,Chelsea,0.32,,Blocked,5.0,Left Foot,,Ben Chilwell,Pass (Live),Moisés Caicedo,Pass (Live),Nott'ham Forest,44e89d37
16,Conor Gallagher,Chelsea,0.05,,Off Target,23.0,Left Foot,,nan,nan,nan,nan,Nott'ham Forest,44e89d37
22,Ben Chilwell,Chelsea,0.19,,Off Target,10.0,Right Foot,,Raheem Sterling,Pass (Live),Nicolas Jackson,Pass (Live),Nott'ham Forest,44e89d37
26,Taiwo Awoniyi,Nott'ham Forest,0.13,,Off Target,8.0,Right Foot,Volley,Taiwo Awoniyi,Fouled,Matt Turner,Pass (Live),Chelsea,44e89d37
31,Taiwo Awoniyi,Nott'ham Forest,0.1,,Off Target,5.0,Right Foot,Volley,Scott McKenna,Pass (Live),Morgan Gibbs-White,Pass (Dead),Chelsea,44e89d37
35,Enzo Fernandez,Chelsea,0.08,,Off Target,21.0,Left Foot,,Malo Gusto,Pass (Live),Conor Gallagher,Pass (Live),Nott'ham Forest,44e89d37
37,Ben Chilwell,Chelsea,0.07,,Blocked,25.0,Left Foot,Free kick,Nicolas Jackson,Fouled,Nicolas Jackson,Take-On,Nott'ham Forest,44e89d37
39,Nicolas Jackson,Chelsea,0.11,,Blocked,13.0,Right Foot,,Conor Gallagher,Pass (Live),Conor Gallagher,Tackle,Nott'ham Forest,44e89d37
43,Orel Mangala,Nott'ham Forest,0.01,,Off Target,25.0,Right Foot,Volley,Morgan Gibbs-White,Pass (Dead),Ola Aina,Fouled,Chelsea,44e89d37
45,Raheem Sterling,Chelsea,0.06,,Blocked,11.0,Right Foot,,Enzo Fernández,Pass (Live),Conor Gallagher,Pass (Live),Nott'ham Forest,44e89d37
45+4,Nicolas Jackson,Chelsea,0.13,,Blocked,13.0,Right Foot,,Raheem Sterling,Pass (Live),Ben Chilwell,Pass (Live),Nott'ham Forest,44e89d37
45+4,Enzo Fernandez,Chelsea,0.02,0.02,Saved,32.0,Right Foot,,Nicolas Jackson,Pass (Live),Nicolas Jackson,Take-On,Nott'ham Forest,44e89d37
45+6,Enzo Fernandez,Chelsea,0.07,,Blocked,28.0,Right Foot,Free kick,Moisés Caicedo,Fouled,Enzo Fernández,Pass (Live),Nott'ham Forest,44e89d37
48,Ryan Yates,Nott'ham Forest,0.02,,Off Target,37.0,Right Foot,,Taiwo Awoniyi,Pass (Live),Orel Mangala,Interception,Chelsea,44e89d37
48,Anthony Elanga,Nott'ham Forest,0.43,0.68,Goal,16.0,Right Foot,,Taiwo Awoniyi,Pass (Live),Orel Mangala,Pass (Live),Chelsea,44e89d37
53,Moises Caicedo,Chelsea,0.08,,Blocked,22.0,Left Foot,,Enzo Fernández,Pass (Live),Moisés Caicedo,Pass (Live),Nott'ham Forest,44e89d37
54,Axel Disasi,Chelsea,0.1,,Off Target,8.0,Head,,Moisés Caicedo,Shot,nan,nan,Nott'ham Forest,44e89d37
56,Nicolas Jackson,Chelsea,0.3,,Blocked,8.0,Right Foot,,Enzo Fernández,Pass (Live),Raheem Sterling,Pass (Live),Nott'ham Forest,44e89d37
64,Axel Disasi,Chelsea,0.03,,Blocked,26.0,Right Foot,,Thiago Silva,Pass (Live),Levi Colwill,Pass (Live),Nott'ham Forest,44e89d37
78,Noni Madueke,Chelsea,0.02,,Blocked,18.0,Left Foot,,Enzo Fernández,Pass (Live),Thiago Silva,Pass (Live),Nott'ham Forest,44e89d37
83,Nicolas Jackson,Chelsea,0.45,,Off Target,5.0,Right Foot,,Cole Palmer,Pass (Live),Enzo Fernández,Pass (Live),Nott'ham Forest,44e89d37
86,Thiago Silva,Chelsea,0.06,0.15,Saved,9.0,Right Foot,,Enzo Fernández,Pass (Dead),Noni Madueke,Fouled,Nott'ham Forest,44e89d37
87,Mykhailo Mudryk,Chelsea,0.02,,Blocked,36.0,Right Foot,,Ian Maatsen,Pass (Live),nan,nan,Nott'ham Forest,44e89d37
88,Ian Maatsen,Chelsea,0.07,,Blocked,22.0,Left Foot,,Cole Palmer,Pass (Live),Cole Palmer,Take-On,Nott'ham Forest,44e89d37
89,Anthony Elanga,Nott'ham Forest,0.03,0.14,Saved,29.0,Right Foot,,Anthony Elanga,Take-On,Anthony Elanga,Take-On,Chelsea,44e89d37
90+5,Anthony Elanga,Nott'ham Forest,0.04,0.12,Saved,12.0,Right Foot,,Anthony Elanga,Take-On,Cheikhou Kouyaté,Pass (Live),Chelsea,44e89d37
90+6,Raheem Sterling,Chelsea,0.05,,Off Target,14.0,Right Foot,,Axel Disasi,Pass (Live),Nicolas Jackson,Pass (Live),Nott'ham Forest,44e89d37
30,Erling Haaland,Manchester City,0.07,,Off Target,13.0,Left Foot,,Mateo Kovačić,Pass (Live),Manuel Akanji,Pass (Live),Fulham,88066bdf
31,Julian Alvarez,Manchester City,0.57,0.86,Goal,8.0,Right Foot,,Erling Haaland,Shot,nan,nan,Fulham,88066bdf
33,Bobby Reid,Fulham,0.41,0.3,Saved,5.0,Right Foot,Volley,Andreas Pereira,Pass (Dead),Bernd Leno,Pass (Live),Manchester City,88066bdf
33,Raul Jimenez,Fulham,0.06,,Blocked,11.0,Right Foot,,Bobby Reid,Shot,nan,nan,Manchester City,88066bdf
33,Tim Ream,Fulham,0.96,0.97,Goal,1.0,Left Foot,,Raúl Jiménez,Shot,nan,nan,Manchester City,88066bdf
45+5,Nathan Ake,Manchester City,0.03,0.38,Goal,14.0,Head,,Phil Foden,Pass (Dead),Kyle Walker,Pass (Live),Fulham,88066bdf
47,Bobby Reid,Fulham,0.01,,Off Target,31.0,Right Foot,,Raúl Jiménez,Pass (Live),Bobby Reid,Pass (Live),Manchester City,88066bdf
58,Erling Haaland,Manchester City,0.53,0.68,Goal,17.0,Left Foot,,Rodri,Pass (Live),Manuel Akanji,Pass (Live),Fulham,88066bdf
60,Luke Harris,Fulham,0.28,0.28,Saved,11.0,Right Foot,,Raúl Jiménez,Pass (Live),Raúl Jiménez,Take-On,Manchester City,88066bdf
64,Julian Alvarez,Manchester City,0.08,,Blocked,9.0,Left Foot,,Erling Haaland,Pass (Live),Rodri,Pass (Live),Fulham,88066bdf
70,Erling Haaland (pen),Manchester City,0.79,1.0,Goal,13.0,Left Foot,,Julián Álvarez,Fouled,Manuel Akanji,Pass (Live),Fulham,88066bdf
74,Raul Jimenez,Fulham,0.13,0.42,Saved,9.0,Right Foot,Deflected,Timothy Castagne,Pass (Live),Harrison Reed,Pass (Live),Manchester City,88066bdf
90+5,Erling Haaland,Manchester City,0.19,0.46,Goal,15.0,Left Foot,,Sergio Gómez,Pass (Live),Sergio Gómez,Take-On,Fulham,88066bdf
1,Alexander Isak,Newcastle Utd,0.16,,Off Target,9.0,Right Foot,,Bruno Guimarães,Pass (Live),Kieran Trippier,Pass (Live),Brighton,4f754e0a
