team,minute,score,player1,player2,event_type,game_id
Sheffield United,87,0:1,Antwoine Hackford,Bénie Adama Traore,substitute_in,55fd92c7
Crystal Palace,90+2,0:1,James Tomkins,Marc Guéhi,substitute_in,55fd92c7
Liverpool,66,1:1,Curtis Jones,Cody Gakpo,substitute_in,c18d3207
Liverpool,66,1:1,Darwin Núñez,Diogo Jota,substitute_in,c18d3207
Chelsea,76,1:1,Malo Gusto,Reece James,substitute_in,c18d3207
Liverpool,77,1:1,Harvey Elliott,Mohamed Salah,substitute_in,c18d3207
Liverpool,77,1:1,Ben Doak,Luis Díaz,substitute_in,c18d3207
Chelsea,81,1:1,Ian Maatsen,Carney Chukwuemeka,substitute_in,c18d3207
Chelsea,81,1:1,Mykhailo Mudryk,Raheem Sterling,substitute_in,c18d3207
Chelsea,90,1:1,Lesley Ugochukwu,Ben Chilwell,substitute_in,c18d3207
Manchester United,46,0:0,Victor Lindelöf,Lisandro Martínez,substitute_in,f1ecda2c
Wolverhampton Wanderers,63,0:0,Hwang Hee-chan,Pablo Sarabia,substitute_in,f1ecda2c
Manchester United,68,0:0,Christian Eriksen,Mason Mount,substitute_in,f1ecda2c
Manchester United,68,0:0,Jadon Sancho,Alejandro Garnacho,substitute_in,f1ecda2c
Manchester United,77,1:0,Facundo Pellistri,Antony,substitute_in,f1ecda2c
Wolverhampton Wanderers,77,1:0,Fábio Silva,Matheus Cunha,substitute_in,f1ecda2c
Wolverhampton Wanderers,77,1:0,Hugo Bueno,Rayan Aït Nouri,substitute_in,f1ecda2c
Manchester United,88,1:0,Scott McTominay,Marcus Rashford,substitute_in,f1ecda2c
Wolverhampton Wanderers,88,1:0,Sasa Kalajdzic,João Gomes,substitute_in,f1ecda2c
Sheffield United,46,1:0,Yasser Larouci,Max Lowe,substitute_in,a0a93f71
Sheffield United,58,1:1,Chris Basham,Vinicius Souza,substitute_in,a0a93f71
Nottingham Forest,69,1:1,Ryan Yates,Orel Mangala,substitute_in,a0a93f71
Nottingham Forest,69,1:1,Anthony Elanga,Willy Boly,substitute_in,a0a93f71
Sheffield United,74,1:1,Andre Brooks,William Osula,substitute_in,a0a93f71
Sheffield United,82,1:1,Antwoine Hackford,Bénie Adama Traore,substitute_in,a0a93f71
Nottingham Forest,84,1:1,Chris Wood,Taiwo Awoniyi,substitute_in,a0a93f71
Nottingham Forest,90+1,2:1,Cheikhou Kouyaté,Danilo,substitute_in,a0a93f71
Nottingham Forest,90+1,2:1,Moussa Niakhate,Brennan Johnson,substitute_in,a0a93f71
Bournemouth,63,3:1,Justin Kluivert,Jaidon Anthony,substitute_in,80bebdbb
Liverpool,63,3:1,Wataru Endo,Cody Gakpo,substitute_in,80bebdbb
Bournemouth,63,3:1,Kieffer Moore,Ryan Christie,substitute_in,80bebdbb
Liverpool,75,3:1,Joe Gomez,Trent Alexander-Arnold,substitute_in,80bebdbb
Liverpool,76,3:1,Harvey Elliott,Diogo Jota,substitute_in,80bebdbb
Bournemouth,76,3:1,David Brooks,Antoine Semenyo,substitute_in,80bebdbb
Bournemouth,76,3:1,Lloyd Kelly,Joe Rothwell,substitute_in,80bebdbb
Bournemouth,84,3:1,Hamed Junior Traorè,Marcos Senesi,substitute_in,80bebdbb
Liverpool,86,3:1,Darwin Núñez,Luis Díaz,substitute_in,80bebdbb
Liverpool,86,3:1,Kostas Tsimikas,Mohamed Salah,substitute_in,80bebdbb
Newcastle United,56,1:0,Harvey Barnes,Anthony Gordon,substitute_in,0b8f50a5
Newcastle United,57,1:0,Sean Longstaff,Joelinton,substitute_in,0b8f50a5
Newcastle United,66,1:0,Callum Wilson,Alexander Isak,substitute_in,0b8f50a5
Newcastle United,66,1:0,Elliot Anderson,Sandro Tonali,substitute_in,0b8f50a5
Newcastle United,86,1:0,Valentino Livramento,Miguel Almirón,substitute_in,0b8f50a5
Wolverhampton Wanderers,55,0:4,Hwang Hee-chan,Fábio Silva,substitute_in,d7c606ec
Wolverhampton Wanderers,56,0:4,Pablo Sarabia,João Gomes,substitute_in,d7c606ec
Brighton & Hove Albion,57,0:4,João Pedro,Danny Welbeck,substitute_in,d7c606ec
Brighton & Hove Albion,57,0:4,Joël Veltman,James Milner,substitute_in,d7c606ec
Brighton & Hove Albion,67,1:4,Evan Ferguson,Julio César Enciso,substitute_in,d7c606ec
Wolverhampton Wanderers,71,1:4,Toti Gomes,Craig Dawson,substitute_in,d7c606ec
Brighton & Hove Albion,81,1:4,Mahmoud Dahoud,Pascal Groß,substitute_in,d7c606ec
Brighton & Hove Albion,81,1:4,Adam Lallana,Kaoru Mitoma,substitute_in,d7c606ec
Wolverhampton Wanderers,86,1:4,Hugo Bueno,Rayan Aït Nouri,substitute_in,d7c606ec
Luton Town,70,2:0,Alfie Doughty,Issa Kaboré,substitute_in,6bfb9dc0
Luton Town,70,2:0,Jacob Brown,Elijah Adebayo,substitute_in,6bfb9dc0
Luton Town,77,3:0,Chiedozie Ogbene,Tahith Chong,substitute_in,6bfb9dc0
Luton Town,77,3:0,Pelly Ruddock Mpanzu,Ross Barkley,substitute_in,6bfb9dc0
Luton Town,77,3:0,Mads Juel Andersen,Reece Burke,substitute_in,6bfb9dc0
Chelsea,83,3:0,Lesley Ugochukwu,Nicolas Jackson,substitute_in,6bfb9dc0
Chelsea,86,3:0,Ian Maatsen,Ben Chilwell,substitute_in,6bfb9dc0
Chelsea,90+2,3:0,Mason Burstow,Raheem Sterling,substitute_in,6bfb9dc0
Wolverhampton Wanderers,46,0:0,Rayan Aït Nouri,Hwang Hee-chan,substitute_in,18dfee28
Everton,66,0:0,Youssef Chermiti,Lewis Dobbin,substitute_in,18dfee28
Wolverhampton Wanderers,74,0:0,Pablo Sarabia,Fábio Silva,substitute_in,18dfee28
Wolverhampton Wanderers,85,0:0,Sasa Kalajdzic,Matheus Cunha,substitute_in,18dfee28
Wolverhampton Wanderers,85,0:0,Toti Gomes,Hugo Bueno,substitute_in,18dfee28
Everton,90+1,0:1,Thomas Cannon,Arnaut Danjuma,substitute_in,18dfee28
Everton,90+1,0:1,Michael Keane,Idrissa Gana Gueye,substitute_in,18dfee28
West Ham United,39,0:1,Saïd Benrahma,Tomáš Souček,substitute_in,ba68d60c
Brighton & Hove Albion,60,0:2,João Pedro,Danny Welbeck,substitute_in,ba68d60c
Brighton & Hove Albion,60,0:2,Adam Lallana,Billy Gilmour,substitute_in,ba68d60c
Brighton & Hove Albion,72,0:3,Joël Veltman,James Milner,substitute_in,ba68d60c
Brighton & Hove Albion,72,0:3,Simon Adingra,Solly March,substitute_in,ba68d60c
West Ham United,79,0:3,Thilo Kehrer,Michail Antonio,substitute_in,ba68d60c
West Ham United,84,1:3,Pablo Fornals,Edson Álvarez,substitute_in,ba68d60c
West Ham United,85,1:3,Danny Ings,Lucas Paquetá,substitute_in,ba68d60c
Bournemouth,46,0:1,Lewis Cook,Joe Rothwell,substitute_in,f49c4ad2
Tottenham Hotspur,59,0:1,Ivan Perišić,Pape Matar Sarr,substitute_in,f49c4ad2
Bournemouth,60,0:1,Hamed Junior Traorè,Ryan Christie,substitute_in,f49c4ad2
Bournemouth,60,0:1,Jaidon Anthony,Justin Kluivert,substitute_in,f49c4ad2
Tottenham Hotspur,60,0:1,Pierre Højbjerg,Richarlison,substitute_in,f49c4ad2
Bournemouth,73,0:2,David Brooks,Antoine Semenyo,substitute_in,f49c4ad2
Tottenham Hotspur,73,0:2,Oliver Skipp,James Maddison,substitute_in,f49c4ad2
Tottenham Hotspur,74,0:2,Giovani Lo Celso,Yves Bissouma,substitute_in,f49c4ad2
Tottenham Hotspur,82,0:2,Ben Davies,Destiny Udogie,substitute_in,f49c4ad2
Bournemouth,86,0:2,Kieffer Moore,Philip Billing,substitute_in,f49c4ad2
Brentford,71,1:0,Frank Onyeka,Mathias Jensen,substitute_in,537b2b0b
Crystal Palace,71,1:0,Jean-Philippe Mateta,Odsonne Édouard,substitute_in,537b2b0b
Crystal Palace,71,1:0,Naouirou Ahamada,Jeffrey Schlupp,substitute_in,537b2b0b
Brentford,80,1:1,Keane Lewis-Potter,Kevin Schade,substitute_in,537b2b0b
Burnley,46,0:2,Jóhann Berg Guðmundsson,Benson Manuel,substitute_in,b66a7def
Burnley,68,1:3,Nathan Redmond,Luca Koleosho,substitute_in,b66a7def
Burnley,68,1:3,Aaron Ramsey,Sander Berge,substitute_in,b66a7def
Aston Villa,73,1:3,Nicolò Zaniolo,Moussa Diaby,substitute_in,b66a7def
Burnley,81,1:3,Jacob Bruun Larsen,Zeki Amdouni,substitute_in,b66a7def
Burnley,81,1:3,Jay Rodriguez,Lyle Foster,substitute_in,b66a7def
Aston Villa,81,1:3,Bertrand Traoré,Lucas Digne,substitute_in,b66a7def
Aston Villa,86,1:3,Jhon Durán,Ollie Watkins,substitute_in,b66a7def
Aston Villa,86,1:3,Youri Tielemans,Douglas Luiz,substitute_in,b66a7def
Liverpool,33,1:0,Joe Gomez,Luis Díaz,substitute_in,b31156ab
Liverpool,58,1:0,Harvey Elliott,Wataru Endo,substitute_in,b31156ab
Liverpool,58,1:0,Diogo Jota,Cody Gakpo,substitute_in,b31156ab
Newcastle United,72,1:0,Sean Longstaff,Sandro Tonali,substitute_in,b31156ab
Newcastle United,72,1:0,Harvey Barnes,Anthony Gordon,substitute_in,b31156ab
Newcastle United,72,1:0,Callum Wilson,Alexander Isak,substitute_in,b31156ab
Liverpool,77,1:0,Darwin Núñez,Alexis Mac Allister,substitute_in,b31156ab
Liverpool,77,1:0,Jarell Quansah,Joël Matip,substitute_in,b31156ab
Newcastle United,82,1:1,Elliot Anderson,Joelinton,substitute_in,b31156ab
Newcastle United,87,1:1,Matt Targett,Sven Botman,substitute_in,b31156ab
Luton Town,71,0:1,Pelly Ruddock Mpanzu,Ross Barkley,substitute_in,e929e225
Luton Town,71,0:1,Jacob Brown,Elijah Adebayo,substitute_in,e929e225
Luton Town,71,0:1,Issa Kaboré,Ryan John Giles,substitute_in,e929e225
West Ham United,72,0:1,Pablo Fornals,Saïd Benrahma,substitute_in,e929e225
Luton Town,78,0:1,Chiedozie Ogbene,Alfie Doughty,substitute_in,e929e225
West Ham United,80,0:1,Danny Ings,Michail Antonio,substitute_in,e929e225
Luton Town,84,0:1,Cauley Woodrow,Tahith Chong,substitute_in,e929e225
West Ham United,90+1,0:2,Kudus Mohammed,Lucas Paquetá,substitute_in,e929e225
Nottingham Forest,45+2,0:0,Anthony Elanga,Danilo,substitute_in,44e89d37
Chelsea,62,0:1,Cole Palmer,Conor Gallagher,substitute_in,44e89d37
Chelsea,62,0:1,Noni Madueke,Ben Chilwell,substitute_in,44e89d37
Nottingham Forest,65,0:1,Chris Wood,Taiwo Awoniyi,substitute_in,44e89d37
Nottingham Forest,72,0:1,Gonzalo Montiel,Serge Aurier,substitute_in,44e89d37
Nottingham Forest,72,0:1,Nuno Tavares,Orel Mangala,substitute_in,44e89d37
Nottingham Forest,73,0:1,Cheikhou Kouyaté,Ola Aina,substitute_in,44e89d37
Chelsea,77,0:1,Ian Maatsen,Moisés Caicedo,substitute_in,44e89d37
Chelsea,77,0:1,Mykhailo Mudryk,Malo Gusto,substitute_in,44e89d37
Newcastle United,58,1:0,Sean Longstaff,Sandro Tonali,substitute_in,4f754e0a
Newcastle United,58,1:0,Elliot Anderson,Miguel Almirón,substitute_in,4f754e0a
Newcastle United,58,1:0,Callum Wilson,Joelinton,substitute_in,4f754e0a
Newcastle United,74,3:0,Harvey Barnes,Alexander Isak,substitute_in,4f754e0a
Newcastle United,74,3:0,Jamaal Lascelles,Matt Targett,substitute_in,4f754e0a
Brighton & Hove Albion,77,3:0,Tariq Lamptey,João Pedro,substitute_in,4f754e0a
Brighton & Hove Albion,77,3:0,Mahmoud Dahoud,Billy Gilmour,substitute_in,4f754e0a
Brighton & Hove Albion,81,3:0,Adam Lallana,Solly March,substitute_in,4f754e0a
Brighton & Hove Albion,81,3:0,James Milner,Evan Ferguson,substitute_in,4f754e0a
Brighton & Hove Albion,89,3:0,Simon Adingra,Pascal Groß,substitute_in,4f754e0a
Bournemouth,60,1:1,David Brooks,Antoine Semenyo,substitute_in,e2946b10
Brentford,71,1:1,Keane Lewis-Potter,Kevin Schade,substitute_in,e2946b10
Brentford,71,1:1,Frank Onyeka,Vitaly Janelt,substitute_in,e2946b10
Bournemouth,71,1:1,Marcus Tavernier,Justin Kluivert,substitute_in,e2946b10
Brentford,81,1:2,Kristoffer Ajer,Mathias Jensen,substitute_in,e2946b10
Brentford,81,1:2,Nathan Collins,Ben Mee,substitute_in,e2946b10
Brentford,82,1:2,Michael Olakigbe,Aaron Hickey,substitute_in,e2946b10
Bournemouth,87,1:2,Chris Mepham,Ryan Christie,substitute_in,e2946b10
Burnley,46,1:2,Hannes Delcroix,Jóhann Berg Guðmundsson,substitute_in,f1786fb8
Burnley,46,1:2,Josh Brownhill,Sander Berge,substitute_in,f1786fb8
Burnley,60,1:3,Nathan Redmond,Zeki Amdouni,substitute_in,f1786fb8
Burnley,68,1:5,Jacob Bruun Larsen,Luca Koleosho,substitute_in,f1786fb8
Tottenham Hotspur,68,1:5,Pierre Højbjerg,Pape Matar Sarr,substitute_in,f1786fb8
Tottenham Hotspur,68,1:5,Ivan Perišić,Manor Solomon,substitute_in,f1786fb8
Tottenham Hotspur,72,1:5,Richarlison,Son Heung-min,substitute_in,f1786fb8
Burnley,74,1:5,Jack Cork,Jordan Beyer,substitute_in,f1786fb8
Tottenham Hotspur,86,1:5,Oliver Skipp,Dejan Kulusevski,substitute_in,f1786fb8
Tottenham Hotspur,86,1:5,Emerson,James Maddison,substitute_in,f1786fb8
Manchester United,67,1:1,Harry Maguire,Lisandro Martínez,substitute_in,74125d47
Manchester United,67,1:1,Rasmus Højlund,Anthony Martial,substitute_in,74125d47
Arsenal,76,1:1,Takehiro Tomiyasu,Oleksandr Zinchenko,substitute_in,74125d47
Arsenal,76,1:1,Gabriel Jesus,Eddie Nketiah,substitute_in,74125d47
Arsenal,77,1:1,Fabio Vieira,Kai Havertz,substitute_in,74125d47
Manchester United,84,1:1,Jonny Evans,Victor Lindelöf,substitute_in,74125d47
Manchester United,84,1:1,Alejandro Garnacho,Antony,substitute_in,74125d47
Arsenal,90,1:1,Reiss Nelson,Gabriel Martinelli,substitute_in,74125d47
Arsenal,90+9,2:1,Jorginho,Martin Ødegaard,substitute_in,74125d47
Wolverhampton Wanderers,60,1:0,Hwang Hee-chan,Pablo Sarabia,substitute_in,f9436d32
Crystal Palace,71,1:1,Jean-Philippe Mateta,Jeffrey Schlupp,substitute_in,f9436d32
Wolverhampton Wanderers,74,1:1,Boubacar Traoré,Fábio Silva,substitute_in,f9436d32
Wolverhampton Wanderers,81,2:1,Sasa Kalajdzic,João Gomes,substitute_in,f9436d32
Wolverhampton Wanderers,82,2:1,Hugo Bueno,Rayan Aït Nouri,substitute_in,f9436d32
Crystal Palace,90,3:1,Will Hughes,Odsonne Édouard,substitute_in,f9436d32
Manchester City,67,1:1,Matheus Nunes,Phil Foden,substitute_in,64c0a6e2
West Ham United,67,1:1,Kudus Mohammed,Michail Antonio,substitute_in,64c0a6e2
West Ham United,68,1:1,Saïd Benrahma,Edson Álvarez,substitute_in,64c0a6e2
West Ham United,87,1:3,Danny Ings,Tomáš Souček,substitute_in,64c0a6e2
West Ham United,87,1:3,Thilo Kehrer,Vladimír Coufal,substitute_in,64c0a6e2
Manchester City,90,1:3,Sergio Gómez,Jeremy Doku,substitute_in,64c0a6e2
Manchester City,90+4,1:3,Rico Lewis,Erling Haaland,substitute_in,64c0a6e2
Manchester City,90+5,1:3,Nathan Aké,Joško Gvardiol,substitute_in,64c0a6e2
Manchester City,90+5,1:3,Oscar Bobb,Bernardo Silva,substitute_in,64c0a6e2
Fulham,62,0:0,Alex Iwobi,Harrison Reed,substitute_in,48b1bdc7
Fulham,62,0:0,Carlos Vinícius,Raúl Jiménez,substitute_in,48b1bdc7
Luton Town,74,1:0,Elijah Adebayo,Tahith Chong,substitute_in,48b1bdc7
Luton Town,74,1:0,Pelly Ruddock Mpanzu,Albert Sambi Lokonga,substitute_in,48b1bdc7
Luton Town,74,1:0,Chiedozie Ogbene,Carlton Morris,substitute_in,48b1bdc7
Luton Town,74,1:0,Alfie Doughty,Jacob Brown,substitute_in,48b1bdc7
Fulham,81,1:0,Tom Cairney,Andreas Pereira,substitute_in,48b1bdc7
Fulham,81,1:0,Bobby Reid,Harry Wilson,substitute_in,48b1bdc7
Luton Town,81,1:0,Cauley Woodrow,Reece Burke,substitute_in,48b1bdc7
Fulham,90+1,1:0,Calvin Bassey,Willian,substitute_in,48b1bdc7
Manchester United,64,0:2,Anthony Martial,Rasmus Højlund,substitute_in,ddcf2857
Manchester United,64,0:2,Hannibal Mejbri,Casemiro,substitute_in,ddcf2857
Brighton & Hove Albion,64,0:2,Ansu Fati,Adam Lallana,substitute_in,ddcf2857
Brighton & Hove Albion,64,0:2,João Pedro,Danny Welbeck,substitute_in,ddcf2857
Brighton & Hove Albion,77,1:3,Billy Gilmour,Mahmoud Dahoud,substitute_in,ddcf2857
Brighton & Hove Albion,77,1:3,James Milner,Tariq Lamptey,substitute_in,ddcf2857
Manchester United,85,1:3,Alejandro Garnacho,Sergio Reguilón,substitute_in,ddcf2857
Manchester United,85,1:3,Aaron Wan-Bissaka,Lisandro Martínez,substitute_in,ddcf2857
Manchester United,85,1:3,Facundo Pellistri,Scott McTominay,substitute_in,ddcf2857
Brighton & Hove Albion,85,1:3,Evan Ferguson,Simon Adingra,substitute_in,ddcf2857
Sheffield United,70,0:0,Oliver Norwood,James Mcatee,substitute_in,e56e96e1
Tottenham Hotspur,80,0:1,Richarlison,Pape Matar Sarr,substitute_in,e56e96e1
Tottenham Hotspur,80,0:1,Ivan Perišić,Manor Solomon,substitute_in,e56e96e1
Tottenham Hotspur,80,0:1,Brennan Johnson,Son Heung-min,substitute_in,e56e96e1
Sheffield United,81,0:1,Tom Davies,Gustavo Hamer,substitute_in,e56e96e1
Sheffield United,86,0:1,Auston Trusty,Jayden Bogle,substitute_in,e56e96e1
Tottenham Hotspur,90+4,0:1,Emerson,Pedro Porro,substitute_in,e56e96e1
Tottenham Hotspur,90+5,0:1,Pierre Højbjerg,Micky van de Ven,substitute_in,e56e96e1
Bournemouth,63,0:0,Justin Kluivert,Dango Ouattara,substitute_in,be0cbf88
Chelsea,63,0:0,Cole Palmer,Mykhailo Mudryk,substitute_in,be0cbf88
Bournemouth,73,0:0,Luis Sinisterra,Marcus Tavernier,substitute_in,be0cbf88
Bournemouth,74,0:0,Marcos Senesi,Milos Kerkez,substitute_in,be0cbf88
Chelsea,80,0:0,Ben Chilwell,Levi Colwill,substitute_in,be0cbf88
Chelsea,81,0:0,Ian Maatsen,Enzo Fernández,substitute_in,be0cbf88
Bournemouth,89,0:0,David Brooks,Ryan Christie,substitute_in,be0cbf88
Arsenal,24,0:0,Leandro Trossard,Gabriel Martinelli,substitute_in,b1278924
Everton,66,0:0,Dominic Calvert-Lewin,Beto,substitute_in,b1278924
Arsenal,66,0:0,Gabriel Jesus,Eddie Nketiah,substitute_in,b1278924
Everton,80,0:1,James Garner,Abdoulaye Doucouré,substitute_in,b1278924
Arsenal,80,0:1,Kai Havertz,Fabio Vieira,substitute_in,b1278924
Arsenal,80,0:1,Takehiro Tomiyasu,Oleksandr Zinchenko,substitute_in,b1278924
Everton,87,0:1,Nathan Patterson,Ashley Young,substitute_in,b1278924
Everton,88,0:1,Youssef Chermiti,Dwight McNeil,substitute_in,b1278924
Nottingham Forest,53,0:1,Nuno Tavares,Gonzalo Montiel,substitute_in,ad7ecfad
Burnley,63,1:1,Anass Zaroury,Jóhann Berg Guðmundsson,substitute_in,ad7ecfad
Burnley,63,1:1,Sander Berge,Zeki Amdouni,substitute_in,ad7ecfad
Nottingham Forest,71,1:1,Ryan Yates,Orel Mangala,substitute_in,ad7ecfad
Nottingham Forest,71,1:1,Divock Origi,Callum Hudson-Odoi,substitute_in,ad7ecfad
Burnley,76,1:1,Mike Trésor,Luca Koleosho,substitute_in,ad7ecfad
Burnley,87,1:1,Hannes Delcroix,Jordan Beyer,substitute_in,ad7ecfad
Nottingham Forest,88,1:1,Chris Wood,Taiwo Awoniyi,substitute_in,ad7ecfad
Brentford,61,1:1,Kristoffer Ajer,Mads Roerslev,substitute_in,96681b93
Brentford,61,1:1,Frank Onyeka,Vitaly Janelt,substitute_in,96681b93
Everton,63,1:1,Dominic Calvert-Lewin,Beto,substitute_in,96681b93
Brentford,73,1:3,Saman Ghoddos,Aaron Hickey,substitute_in,96681b93
Everton,77,1:3,Arnaut Danjuma,Amadou Onana,substitute_in,96681b93
Brentford,89,1:3,Michael Olakigbe,Keane Lewis-Potter,substitute_in,96681b93
Burnley,20,0:0,Mike Trésor,Jóhann Berg Guðmundsson,substitute_in,8e26793d
Burnley,73,0:1,Jacob Bruun Larsen,Luca Koleosho,substitute_in,8e26793d
Burnley,73,0:1,Sander Berge,Aaron Ramsey,substitute_in,8e26793d
Burnley,73,0:1,Jay Rodriguez,Zeki Amdouni,substitute_in,8e26793d
Manchester United,79,0:1,Raphaël Varane,Sergio Reguilón,substitute_in,8e26793d
Burnley,86,0:1,Benson Manuel,Josh Brownhill,substitute_in,8e26793d
Manchester United,89,0:1,Sofyan Amrabat,Jonny Evans,substitute_in,8e26793d
Crystal Palace,70,0:0,Jean-Philippe Mateta,Jeffrey Schlupp,substitute_in,cf0b2b19
Fulham,75,0:0,Alex Iwobi,Andreas Pereira,substitute_in,cf0b2b19
Fulham,79,0:0,Harry Wilson,Bobby Reid,substitute_in,cf0b2b19
Fulham,79,0:0,Carlos Vinícius,Raúl Jiménez,substitute_in,cf0b2b19
Crystal Palace,90+1,0:0,Jesuran Rak Sakyi,Odsonne Édouard,substitute_in,cf0b2b19
Nottingham Forest,39,2:0,Gonzalo Montiel,Nuno Tavares,substitute_in,5dc7e234
Manchester City,51,2:0,Kalvin Phillips,Jeremy Doku,substitute_in,5dc7e234
Nottingham Forest,56,2:0,Anthony Elanga,Ibrahim Sangaré,substitute_in,5dc7e234
Nottingham Forest,56,2:0,Callum Hudson-Odoi,Serge Aurier,substitute_in,5dc7e234
Manchester City,57,2:0,Nathan Aké,Julián Álvarez,substitute_in,5dc7e234
Nottingham Forest,75,2:0,Chris Wood,Taiwo Awoniyi,substitute_in,5dc7e234
Nottingham Forest,75,2:0,Divock Origi,Ola Aina,substitute_in,5dc7e234
Manchester City,87,2:0,Jack Grealish,Phil Foden,substitute_in,5dc7e234
Chelsea,61,0:0,Ben Chilwell,Mykhailo Mudryk,substitute_in,7d2c5e05
Chelsea,68,0:0,Lesley Ugochukwu,Nicolas Jackson,substitute_in,7d2c5e05
Chelsea,68,0:0,Cole Palmer,Enzo Fernández,substitute_in,7d2c5e05
Aston Villa,75,0:1,Leon Bailey,Nicolò Zaniolo,substitute_in,7d2c5e05
Aston Villa,75,0:1,Jacob Ramsey,John McGinn,substitute_in,7d2c5e05
Chelsea,79,0:1,Armando Broja,Moisés Caicedo,substitute_in,7d2c5e05
Aston Villa,81,0:1,Youri Tielemans,Moussa Diaby,substitute_in,7d2c5e05
Aston Villa,90,0:1,Leander Dendoncker,Boubacar Kamara,substitute_in,7d2c5e05
Aston Villa,90+1,0:1,Jhon Durán,Ollie Watkins,substitute_in,7d2c5e05
Newcastle United,12,0:0,Anthony Gordon,Harvey Barnes,substitute_in,cf4fef85
Sheffield United,46,0:3,Bénie Adama Traore,Jayden Bogle,substitute_in,cf4fef85
Sheffield United,62,0:5,Tom Davies,Oliver Norwood,substitute_in,cf4fef85
Sheffield United,66,0:5,Anis Ben Slimane,Gustavo Hamer,substitute_in,cf4fef85
Newcastle United,70,0:6,Sandro Tonali,Miguel Almirón,substitute_in,cf4fef85
