Player,Team,Position,LiveRkOv,FPTS,GS,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,GP,MIN,Ghost Points,Negative Fpts,90s,FPts/90
Pablo Fornals,WHU,M,252.83,15.0,1,0,2,0,2,3,2,0,0,0,2,0,3,0,0,0,0,0,3,0,6,136,15.0,-1.0,1.51,9.93
Pablo Sarabia,WOL,M,175.0,28.0,2,0,7,1,2,2,4,0,0,1,0,0,1,1,0,0,0,0,1,1,4,169,21.0,-2.0,1.88,14.89
Pape Sarr,TOT,M,63.25,72.0,7,1,9,1,8,10,4,2,0,0,5,7,6,3,6,0,0,0,5,2,8,555,55.0,-6.0,6.17,11.67
Pascal Gross,BHA,M,25.33,81.0,6,2,17,0,7,2,5,1,0,3,5,3,6,1,3,0,0,0,8,1,6,528,62.0,-4.5,5.87,13.8
Pau Torres,AVL,D,203.5,36.75,7,1,3,0,2,4,0,0,0,0,2,15,7,2,6,0,0,0,10,2,8,688,14.75,-20.0,7.64,4.81
Pedro Neto,WOL,F,7.12,124.0,8,1,20,6,5,2,9,2,0,13,3,2,18,1,1,0,0,0,14,1,8,720,79.0,-8.5,8.0,15.5
Pedro Porro,TOT,D,49.14,76.75,7,0,10,2,0,13,2,1,0,3,6,19,5,5,3,0,0,0,6,3,7,625,44.75,-15.0,6.94,11.06
Pelly Ruddock,LUT,M,295.0,18.0,4,0,4,0,0,1,7,0,0,2,4,4,2,2,5,0,0,0,8,0,8,410,18.0,-3.5,4.56,3.95
Pervis Estupinan,BHA,D,53.17,62.75,6,1,13,3,4,3,2,2,0,6,8,7,2,1,6,0,0,1,10,0,6,495,31.75,-30.0,5.5,11.41
Phil Foden,MCI,M,17.25,100.5,7,1,20,3,4,7,9,0,0,2,2,5,15,0,2,0,0,0,5,3,8,603,70.5,-4.5,6.7,15.0
Philip Billing,BOU,M,107.62,48.5,8,0,8,0,1,8,8,0,0,2,9,16,4,3,15,0,0,0,17,1,8,690,47.5,-4.0,7.67,6.32
Philippe Coutinho,AVL,M,320.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,22,6.0,0.0,0.24,25.0
Pierre-Emile Hojbjerg,TOT,M,385.14,2.0,0,0,0,0,0,1,0,2,0,0,1,2,2,2,0,0,0,0,1,0,7,121,2.0,-4.0,1.34,1.49
Raheem Sterling,CHE,F,48.75,94.5,7,3,10,3,6,5,18,2,0,5,0,1,16,0,1,0,2,0,7,2,8,634,49.5,-13.0,7.04,13.42
Raphael Varane,MUN,D,165.6,30.25,4,1,1,0,2,4,2,0,0,0,1,17,1,2,7,0,0,0,5,1,5,321,14.25,-11.0,3.57,8.47
Rasmus Hojlund,MUN,F,269.2,14.0,4,0,4,0,2,0,7,0,0,0,0,5,4,0,3,0,0,0,6,1,5,355,14.0,-3.5,3.94,3.55
Raul Jimenez,FUL,F,225.43,21.0,7,0,4,0,2,5,14,1,0,0,0,6,3,2,16,0,0,0,10,2,7,503,21.0,-9.0,5.59,3.76
Rayan Ait-Nouri,WOL,D,251.5,17.75,7,0,3,0,0,11,12,2,0,0,5,11,9,5,7,0,0,0,9,0,8,514,17.75,-28.0,5.71,3.11
Reece Burke,LUT,D,216.67,36.5,6,0,5,1,1,7,3,1,0,0,6,20,1,6,18,0,0,0,11,0,7,539,29.5,-25.5,5.99,6.09
Reece James,CHE,D,305.0,8.0,1,0,2,0,0,0,2,0,0,3,0,0,1,0,3,0,0,0,1,0,1,75,8.0,-3.0,0.83,9.64
Reiss Nelson,ARS,F,327.0,5.5,0,0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,33,5.5,-0.5,0.37,14.86
Rhian Brewster,SHU,F,378.5,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,20,2.0,0.0,0.22,9.09
Richarlison,TOT,F,93.5,53.5,5,1,5,2,7,2,12,2,0,1,3,2,6,2,9,0,0,0,4,1,8,389,32.5,-10.0,4.32,12.38
Rico Henry,BRF,D,142.0,34.75,5,0,5,1,0,5,7,1,0,2,5,5,7,3,4,0,0,0,5,1,5,401,21.75,-15.5,4.46,7.79
Rico Lewis,MCI,D,318.5,13.0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,4,147,1.0,-1.0,1.63,7.98
Rodri,MCI,M,54.0,62.5,6,2,6,1,7,8,4,2,1,0,3,7,9,0,7,0,0,0,3,2,6,480,36.5,-13.0,5.33,11.73
Rodrigo Muniz,FUL,F,609.67,1.0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,1,0,0,0,2,0,3,22,1.0,-2.5,0.24,4.17
Ross Barkley,LUT,M,266.33,13.5,2,0,4,0,0,0,4,0,0,0,2,2,3,0,5,0,0,0,4,0,3,154,13.5,-2.0,1.71,7.89
Ruben Dias,MCI,D,179.86,27.0,7,0,1,0,3,4,1,0,0,1,7,14,0,3,6,0,0,1,6,2,7,630,15.0,-17.5,7.0,3.86
Ryan Christie,BOU,M,78.88,53.0,8,0,8,1,4,5,11,0,0,4,7,7,9,1,3,0,0,0,14,1,8,569,46.0,-5.5,6.32,8.39
Ryan Giles,LUT,M,206.0,22.5,3,0,4,0,1,3,0,0,0,6,1,7,2,0,1,0,0,0,8,0,4,267,22.5,0.0,2.97,7.58
Ryan Gravenberch,LIV,M,354.0,7.0,0,0,0,0,1,1,1,0,0,0,2,4,2,0,1,0,0,0,2,0,4,67,7.0,-0.5,0.74,9.46
Ryan Yates,NOT,M,250.0,14.0,3,0,0,0,0,7,3,2,0,0,6,10,0,3,5,0,0,0,5,1,6,321,13.0,-5.5,3.57,3.92
Said Benrahma,WHU,M,139.0,35.5,3,0,7,1,3,1,5,0,0,1,2,2,7,0,0,0,0,0,5,1,7,331,28.5,-2.5,3.68,9.65
Saman Ghoddos,BRF,F,331.0,7.0,0,0,3,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,2,0,3,42,7.0,-2.0,0.47,14.89
Sander Berge,BUR,M,209.86,30.5,6,0,5,1,0,4,6,1,0,0,2,6,3,4,13,0,0,0,15,0,8,508,24.5,-5.0,5.64,5.41
Sandro Tonali,NEW,M,147.14,37.5,5,1,7,0,2,7,2,2,0,3,1,4,3,0,1,0,0,0,5,1,7,412,27.5,-5.0,4.58,8.19
Sasa Kalajdzic,WOL,F,256.0,15.5,0,1,2,0,1,1,1,1,0,0,0,0,1,0,2,0,0,0,1,0,4,26,6.5,-2.5,0.29,53.45
Sasa Lukic,FUL,M,278.25,13.5,3,0,2,0,1,3,2,1,0,0,3,4,3,0,1,0,0,0,4,1,4,263,12.5,-3.0,2.92,4.62
Scott McKenna,NOT,D,138.0,35.25,5,0,3,0,0,0,0,0,0,0,5,25,0,4,20,0,0,0,6,1,5,416,29.25,-12.0,4.62,7.63
Scott McTominay,MUN,M,242.0,35.5,2,2,1,0,3,3,3,0,0,0,3,2,2,1,2,0,0,0,3,1,5,181,16.5,-1.5,2.01,17.66
Sean Longstaff,NEW,M,86.12,48.5,4,1,5,2,3,5,8,1,0,3,2,3,1,3,1,0,0,0,6,3,8,444,24.5,-6.0,4.93,9.84
Serge Aurier,NOT,D,155.57,36.75,7,0,3,2,1,7,6,2,0,3,4,19,2,0,13,0,0,0,9,1,7,531,16.75,-25.0,5.9,6.23
Sergio Gomez,MCI,D,271.0,12.0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,14,5.0,0.0,0.16,75.0
Sergio Reguilon,MUN,D,328.0,5.25,2,0,2,0,0,0,1,1,0,0,1,3,2,0,0,0,0,0,3,1,2,162,-0.75,-8.5,1.8,2.92
Shandon Baptiste,BRF,M,419.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,17,0.0,0.0,0.19,0.0
Simon Adingra,BHA,F,105.86,62.5,3,2,4,1,4,7,3,0,0,3,6,1,7,0,2,0,0,0,9,0,7,320,38.5,-1.5,3.56,17.56
Sofyan Amrabat,MUN,M,336.0,9.0,2,0,3,0,0,3,3,1,0,0,2,2,0,1,1,0,0,0,2,0,3,177,9.0,-3.5,1.97,4.57
Solly March,BHA,M,28.67,91.0,6,3,6,1,6,13,9,0,0,3,10,7,8,0,5,0,0,0,9,2,6,465,56.0,-4.5,5.17,17.6
Son Heung-Min,TOT,F,10.12,111.5,8,6,13,0,11,2,4,0,0,1,2,3,6,0,1,0,0,0,7,3,8,625,57.5,-2.0,6.94,16.07
Sven Botman,NEW,D,68.0,54.75,5,1,2,1,1,5,0,1,0,0,4,15,0,3,12,0,0,0,3,2,5,446,25.75,-8.0,4.96,11.04
Tahith Chong,LUT,M,341.33,8.5,4,0,1,0,1,4,5,2,0,2,3,0,2,0,0,0,0,0,9,0,6,361,8.5,-6.5,4.01,2.12
Taiwo Awoniyi,NOT,F,31.14,72.5,6,3,9,2,3,2,7,1,0,0,0,6,6,0,14,0,0,0,8,1,7,486,33.5,-5.5,5.4,13.43
Takehiro Tomiyasu,ARS,D,319.83,6.75,1,0,0,0,1,0,1,0,1,0,1,5,2,0,4,0,0,0,1,1,6,161,0.75,-9.5,1.79,3.77
Tariq Lamptey,BHA,D,262.25,13.5,1,0,2,2,0,3,1,2,0,0,2,0,5,0,0,0,0,0,5,0,4,135,-0.5,-14.5,1.5,9.0
Teden Mengi,LUT,D,320.0,8.75,1,0,0,0,0,1,1,0,0,0,7,5,0,1,3,0,0,0,2,0,3,153,8.75,-4.5,1.7,5.15
Thiago Silva,CHE,D,85.75,58.0,8,0,4,0,1,3,0,1,0,0,6,40,1,6,20,0,0,0,7,3,8,720,40.0,-16.0,8.0,7.25
Thilo Kehrer,WHU,D,716.0,-1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,3,15,-1.0,-4.0,0.17,-5.88
Thomas Cannon,EVE,F,446.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01,0.0
Thomas Partey,ARS,M,189.5,26.5,3,0,3,0,1,5,3,0,0,2,4,2,6,1,2,0,0,0,2,1,4,249,25.5,-1.5,2.77,9.57
Tim Ream,FUL,D,165.43,36.75,7,1,0,0,1,8,2,1,1,0,6,23,1,0,14,0,0,0,9,3,7,603,8.75,-28.0,6.7,5.49
Timothy Castagne,FUL,D,186.0,30.5,4,0,3,0,1,4,2,1,0,2,4,6,4,2,4,0,0,0,4,2,5,376,18.5,-11.0,4.18,7.3
Tom Cairney,FUL,M,348.83,12.5,2,0,3,1,0,0,5,0,0,0,0,1,1,1,2,0,0,0,2,0,6,148,6.5,-2.5,1.64,7.62
Tom Davies,SHU,M,347.67,3.5,0,0,1,0,0,2,3,1,0,0,2,2,1,0,0,0,0,0,5,0,3,54,3.5,-3.5,0.6,5.83
Tom Lockyer,LUT,D,200.83,30.75,7,1,1,0,1,8,1,2,0,0,9,29,2,5,16,0,0,0,13,0,7,585,20.75,-30.5,6.5,4.73
Tomas Soucek,WHU,M,38.29,80.5,7,2,6,1,4,9,2,1,0,1,8,23,0,9,23,0,0,0,9,1,7,542,55.5,-3.0,6.02,13.37
Tommy Doyle,WOL,M,486.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,13,0.0,0.0,0.14,0.0
Tosin Adarabioyo,FUL,D,369.0,2.0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,2.0,0.0,0.01,200.0
Toti,WOL,D,345.2,4.25,2,0,0,0,0,3,0,0,0,0,2,5,0,3,1,0,0,0,3,0,5,247,4.25,-6.0,2.74,1.55
Trent Alexander-Arnold,LIV,D,115.83,42.25,5,0,10,1,2,8,2,2,0,2,4,13,5,0,0,0,0,0,6,1,6,419,29.25,-17.0,4.66,9.07
Tyler Onyango,EVE,M,625.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01,0.0
Tyrick Mitchell,CRY,D,117.12,57.25,8,0,5,1,0,8,6,1,0,6,5,21,4,4,3,0,0,0,7,4,8,720,26.25,-19.0,8.0,7.16
Tyrone Mings,AVL,D,394.0,0.25,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,1,30,0.25,-4.0,0.33,0.76
Valentino Livramento,NEW,D,391.67,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0.5,-0.5,0.26,1.92
Victor Lindelof,MUN,D,266.43,14.75,5,0,5,0,0,2,2,1,0,0,3,7,1,3,3,0,0,0,6,1,7,510,8.75,-15.0,5.67,2.6
Vinicius de Souza Costa,SHU,M,158.5,35.5,7,0,1,0,2,9,5,1,0,0,10,18,5,2,16,0,0,0,20,0,8,606,35.5,-4.5,6.73,5.27
Virgil van Dijk,LIV,D,87.0,52.75,6,0,4,2,1,1,0,1,1,0,13,35,0,9,22,0,0,0,8,0,6,477,38.75,-25.0,5.3,9.95
Vitalii Mykolenko,EVE,D,206.0,33.0,4,0,3,0,1,12,2,0,0,1,3,12,4,1,4,0,0,0,4,1,4,360,27.0,-9.0,4.0,8.25
Vitaly Janelt,BRF,M,130.5,43.0,8,0,8,1,2,7,2,1,0,0,5,8,1,1,8,0,0,0,7,2,8,628,35.0,-3.0,6.98,6.16
Vitinho,BUR,D,719.0,-3.75,2,0,1,0,0,0,1,0,0,0,2,3,1,1,0,0,0,0,5,0,3,151,-3.75,-10.5,1.68,-2.23
Vladimir Coufal,WHU,D,33.0,78.25,8,0,11,4,0,16,3,0,0,6,9,19,1,3,8,0,0,0,12,1,8,716,44.25,-25.5,7.96,9.83
Wataru Endo,LIV,M,360.2,2.5,1,0,0,0,0,2,2,0,0,0,1,3,0,0,1,0,0,0,2,0,5,102,2.5,-1.0,1.13,2.21
Will Hughes,CRY,M,227.2,21.0,4,0,2,0,2,6,10,2,0,0,4,10,4,5,0,0,0,0,4,3,5,361,18.0,-9.0,4.01,5.24
William Osula,SHU,F,721.0,-1.5,3,0,0,0,0,0,4,2,0,1,0,1,0,1,5,0,0,0,3,0,3,233,-1.5,-6.0,2.59,-0.58
William Saliba,ARS,D,99.38,54.75,8,0,2,1,0,2,1,0,0,0,7,17,1,6,12,0,0,0,6,4,8,720,23.75,-12.5,8.0,6.84
Willian,FUL,F,186.86,52.0,5,1,8,1,6,1,6,1,0,1,3,2,7,0,4,0,0,0,5,2,7,440,37.0,-5.0,4.89,10.63
Willy Boly,NOT,D,40.29,83.0,7,1,2,0,5,12,0,1,0,0,9,40,1,12,23,0,0,0,9,2,7,608,61.0,-20.0,6.76,12.28
Wilson Odobert,BUR,F,292.0,22.0,1,1,2,0,2,2,0,1,0,0,0,1,5,0,0,0,0,0,5,0,2,100,13.0,-2.0,1.11,19.82
Yasser Larouci,SHU,D,381.0,0.0,1,0,0,0,1,1,1,0,0,0,5,10,3,1,0,0,0,0,7,0,5,216,0.0,-14.5,2.4,0.0
Yoane Wissa,BRF,F,36.75,80.5,8,2,6,2,7,5,5,1,0,1,4,4,8,2,14,0,1,0,10,2,8,668,50.5,-4.5,7.42,10.85
Youri Tielemans,AVL,M,367.25,2.5,0,0,1,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,3,0,8,138,2.5,-1.5,1.53,1.63
Youssef Ramalho Chermiti,EVE,F,718.67,-1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,3,25,-1.0,-2.0,0.28,-3.57
Yves Bissouma,TOT,M,79.0,48.5,8,0,5,0,3,18,15,4,1,0,13,13,17,3,4,0,0,0,8,2,8,656,46.5,-22.5,7.29,6.65
Zanka,BRF,D,337.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5,4.0,0.0,0.06,66.67
Zeki Amdouni,BUR,F,134.5,43.0,7,1,4,0,6,5,5,1,0,0,1,3,9,2,3,0,0,0,11,1,7,464,34.0,-4.5,5.16,8.33
